Product_ID,Product_Name,Price,Quantity_Sold,Region,Sale_Date
1073,Tablet,5146823.87,30,Jakarta,2023-01-07
1029,Smartphone,19049262.5,39,Bandung,2023-03-25
1058,Headphone,15940555.27,31,Medan,2023-07-27
1086,Monitor,2698809.04,82,Bandung,2023-11-10
1095,Monitor,8934034.74,2,Makassar,2023-01-22
1080,Tablet,,78,Surabaya,2023-01-03
1080,Smartphone,18949908.42,77,Jakarta,2023-05-07
1013,Monitor,9880628.71,93,Jakarta,2023-10-24
1008,Tablet,12654816.4,12,Medan,2023-07-07
1039,Headphone,4173644.98,39,Bandung,2023-12-28
1065,Monitor,19832203.9,66,Medan,2023-01-14
1024,Tablet,5401762.33,96,Surabaya,2023-01-12
1072,Tablet,18911903.71,13,Medan,2023-03-28
1021,Laptop,13343286.33,46,Jakarta,2023-01-12
1003,Headphone,12546999.1,27,Jakarta,2023-01-25
1025,Laptop,10741081.71,17,Makassar,2023-10-28
1057,Smartphone,5382726.42,95,Makassar,2023-08-31
1028,Laptop,4354032.61,98,Surabaya,2023-05-02
1097,Laptop,5189237.97,60,Bandung,2023-05-27
1086,Monitor,4542326.98,64,Medan,2023-02-24
1036,Tablet,15812105.0,88,Surabaya,2023-08-26
1074,Headphone,7652379.92,35,Makassar,2023-12-22
1069,Laptop,2099010.85,70,Medan,2023-06-22
1017,Headphone,19412949.97,83,Makassar,2023-08-09
1084,Laptop,17791931.81,30,Medan,2023-04-29
1041,Smartphone,18627293.38,71,Bandung,2023-11-05
1099,Laptop,19903248.63,74,Surabaya,2023-07-02
1040,Monitor,4304009.74,96,Medan,2023-10-15
1037,Tablet,8528598.36,98,Jakarta,2023-11-03
1033,Smartphone,15406531.04,63,Jakarta,2023-10-27
1016,Laptop,14224391.74,28,Medan,2023-03-23
1036,Headphone,3924022.22,60,Medan,2023-07-30
1024,Smartphone,16500829.37,79,Medan,2023-05-30
1075,Smartphone,,94,Jakarta,2023-02-06
1086,Laptop,5252534.68,37,Jakarta,2023-12-18
1085,Smartphone,11202514.03,93,Medan,2023-11-08
1084,Headphone,12265858.76,22,Makassar,2023-12-27
1026,Smartphone,12021637.95,68,Makassar,2023-02-28
1056,Headphone,2738249.91,20,Bandung,2023-05-11
1030,Laptop,17671756.39,96,Surabaya,2023-07-21
1005,Tablet,6046400.81,68,Makassar,2023-08-31
1090,Smartphone,3460783.5,91,Jakarta,2023-02-04
1039,Tablet,17886213.52,64,Makassar,2023-04-03
1097,Headphone,19157378.47,17,Bandung,2023-07-26
1011,Smartphone,17380424.73,12,Bandung,2023-12-19
1052,Monitor,16380805.42,22,Surabaya,2023-11-28
1070,Tablet,13449597.63,17,Makassar,2023-11-01
1009,Smartphone,11466290.04,10,Jakarta,2023-12-16
1044,Tablet,2652748.44,65,Jakarta,2023-08-01
1016,Smartphone,8760611.05,22,Medan,2023-06-08
1025,Laptop,8081081.82,90,Jakarta,2023-01-24
1084,Tablet,5935321.89,82,Surabaya,2023-10-20
1091,Monitor,,50,Surabaya,2023-01-04
1061,Monitor,10421638.97,14,Jakarta,2023-08-08
1045,Headphone,2539878.1,64,Jakarta,2023-12-30
1063,Smartphone,5183480.84,47,Medan,2023-01-20
1001,Tablet,13981916.51,29,Jakarta,2023-06-01
1053,Headphone,2446486.33,76,Medan,2023-02-19
1064,Tablet,17172931.37,36,Medan,2023-06-26
1050,Smartphone,10407784.01,99,Jakarta,2023-04-06
1052,Monitor,10131144.97,52,Bandung,2023-04-15
1035,Laptop,12255747.91,76,Bandung,2023-09-07
1025,Monitor,16668938.35,7,Medan,2023-04-27
